1000, 29892, 0, 0, 0
2000, 30598, 0, 0, 0
3005, 31001, 0, 0, 0
4000, 31203, 0, 0, 0
5010, 30333, 0, 0, 0
6002, 30349, 0, 0, 0
7002, 30007, 0, 0, 0
8001, 30589, 0, 0, 0
9003, 33086, 0, 0, 0
10001, 29860, 0, 0, 0
11002, 30767, 0, 0, 0
12001, 29851, 0, 0, 0
13000, 30660, 0, 0, 0
14000, 30561, 0, 0, 0
15000, 30002, 0, 0, 0
16000, 29992, 0, 0, 0
17000, 29949, 0, 0, 0
18003, 30120, 0, 0, 0
19000, 31173, 0, 0, 0
20000, 30142, 0, 0, 0
21000, 29892, 0, 0, 0
22000, 30161, 0, 0, 0
23003, 30040, 0, 0, 0
24000, 31172, 0, 0, 0
25000, 29979, 0, 0, 0
26000, 30086, 0, 0, 0
27000, 29906, 0, 0, 0
28000, 30084, 0, 0, 0
29000, 30630, 0, 0, 0
30000, 29951, 0, 0, 0
31000, 30142, 0, 0, 0
32000, 29815, 0, 0, 0
33001, 30210, 0, 0, 0
34000, 31757, 0, 0, 0
35000, 32325, 0, 0, 0
36000, 30019, 0, 0, 0
37000, 30005, 0, 0, 0
38000, 29910, 0, 0, 0
39000, 30685, 0, 0, 0
40000, 29834, 0, 0, 0
41000, 29974, 0, 0, 0
42000, 29967, 0, 0, 0
43000, 29963, 0, 0, 0
44001, 30226, 0, 0, 0
45000, 29895, 0, 0, 0
46000, 30017, 0, 0, 0
47000, 29848, 0, 0, 0
48000, 30461, 0, 0, 0
49000, 29894, 0, 0, 0
50000, 30077, 0, 0, 0
51000, 30024, 0, 0, 0
52000, 32824, 0, 0, 0
53001, 30154, 0, 0, 0
54000, 30405, 0, 0, 0
55000, 30043, 0, 0, 0
56000, 29880, 0, 0, 0
57000, 30037, 0, 0, 0
58000, 30076, 0, 0, 0
59000, 30452, 0, 0, 0
60000, 29858, 0, 0, 0
